"AAPL","AMZN","MSFT","KO","PEP","JPM","BAC","NKE","ORCL","IBM","PG","WMT","date"
1.664286,10.96,33.52,23.735001,49.150002,36.349998,31.48,7.115,13.98,121.5,40,58.049999,1970-01-02
1.684286,11.9,34.615002,23.424999,48.790001,37.32,31.445,7.0625,15.29,123.660004,39.615002,57.98,1970-01-03
1.692143,12.25,34.450001,23.215,48.360001,39,31.934999,7.125,15.45,125.599998,39.224998,57.599998,1970-01-04
1.635714,12.34,34.279999,22.610001,48.080002,38.900002,31.555,7.14875,15.49,124.050003,38.775002,57.389999,1970-01-05
1.615,11.85,34.689999,22.325001,47.799999,38.599998,31.049999,7.16875,15.75,124.699997,38.880001,57.84,1970-01-06
1.546429,11.53,34.355,22.280001,47.610001,38.709999,30.975,7.0675,16.73,124.489998,38.599998,56.400002,1970-01-07
1.516429,11.04,34.639999,22.389999,48.150002,39.139999,31,7.12875,16.690001,122.139999,38.465,57,1970-01-08
1.503571,11.03,34.305,22.65,48.450001,38.34,30.450001,6.92875,16.27,120.309998,38.605,55.799999,1970-01-09
1.510714,10.11,34.235001,22.25,48.27,37.310001,30.360001,6.8375,16.389999,118.050003,39.349998,55.759998,1970-01-10
1.55,10.29,34.775002,22.174999,48.619999,37.869999,30.725,7.1625,16.99,118.849998,39.825001,56.869999,1970-01-11
1.484286,9.13,33.935001,22.075001,48.630001,36.509998,30.4,7.025,16.58,117.400002,39.744999,55.990002,1970-01-12
1.605714,9.74,34.93,22.525,48.610001,36.849998,30.559999,7.1725,17.219999,119.900002,39.845001,56.759998,1970-01-13
1.583571,10.16,33.049999,22.719999,49.110001,35.91,30.4,7.19375,16.48,114.25,39.904999,56.349998,1970-01-14
1.558571,12.6,32.23,22.950001,49.419998,35.759998,31.334999,7.25,15.94,110.5,39.709999,58.009998,1970-01-15
1.644286,12.47,31.870001,22.389999,49.41,35.75,31.43,7.27,16.75,107.900002,39.299999,59.860001,1970-01-16
1.657857,14.01,32.299999,22.110001,49.599998,35.900002,32,7.3425,17.25,108.720001,38.889999,59.669998,1970-01-17
1.660714,14.44,31.9,22.575001,49.119999,34.990002,31.674999,7.32625,16.690001,109.279999,39.57,58.400002,1970-01-18
1.662143,15.5,31.91,22.605,48.630001,34.310001,31.82,7.27875,16.9,108.150002,39.580002,58.630001,1970-01-19
1.647857,14.22,31.16,22,47.549999,32.049999,29.6,7.225,16.5,103,38.759998,57.91,1970-01-20
1.720714,13.9,31.424999,21.924999,48.669998,33.060001,30.83,7.625,16.620001,105.550003,39.145,59.75,1970-01-21
1.765714,14.19,31.855,21.875,50.09,34.049999,31.514999,7.48875,17.26,107.889999,40.84,59.98,1970-01-22
1.743571,13.73,31.33,22.34,50.119999,32.16,30.68,7.5025,16.389999,108,41.285,59.259998,1970-01-23
1.810714,12.53,30.559999,22.34,50.299999,30.559999,29.700001,7.4325,16.120001,106.800003,41.349998,58.900002,1970-01-24
1.817857,11.5,30.575001,22.875,50.810001,29.02,29.450001,7.49875,15.81,106.300003,41.310001,58.799999,1970-01-25
1.762143,11.26,30.200001,23.25,49.099998,29.440001,29.424999,7.5125,16.040001,106.629997,41.25,58.880001,1970-01-26
